Model,Acc,Flip,Cons,BiasSens,DomainGap,ECE,Robust
GPT-4-turbo,0.843,0.092,0.941,0.117,0.234,0.067,0.892
Claude-3-Opus,0.831,0.078,0.958,0.094,0.218,0.058,0.875
Llama-3-70B,0.796,0.104,0.924,0.146,0.245,0.089,0.834
GPT-3.5-turbo,0.742,0.143,0.887,0.178,0.276,0.112,0.768
Claude-3-Sonnet,0.738,0.138,0.892,0.169,0.269,0.108,0.772
Mixtral-8x7B,0.721,0.151,0.874,0.185,0.291,0.121,0.741
Llama-3-8B,0.654,0.189,0.831,0.212,0.314,0.156,0.672
RewardBench-rm,0.623,0.167,0.856,0.198,0.287,0.143,0.698
